Country,avg,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Afghanistan,19.0,20.0,21.5,21.0,18.5,16.0,16.5,14.5,14.5,20.0,20.5,113.0,114.0
Albania,14.0,20.0,23.0,13.0,10.0,11.0,10.0,12.0,11.0,12.0,16.0,11.0,20.0
Algeria,23.0,21.0,24.0,20.0,20.0,15.0,19.0,27.0,20.0,28.0,26.0,22.0,37.0
Andorra,18.666666666666668,17.0,20.0,19.0,19.666666666666668,21.666666666666668,21.333333333333332,23.666666666666668,21.0,17.666666666666668,16.0,14.0,14.0
Angola,14.4,27.6,31.8,22.3,32.8,41.6,17.266666666666666,12.566666666666666,13.166666666666666,13.133333333333335,12.4,15.8,5.4
Argentina,14.214285714285714,11.803571428571429,15.267346938775509,15.66326530612245,17.352891156462587,17.307142857142857,19.15833333333333,13.181972789115646,17.06456043956044,11.39625850340136,12.699683321604505,16.785714285714285,15.785714285714286
Armenia,35.5,60.75,30.25,27.25,22.75,25.5,27.75,63.5,32.0,37.5,35.5,42.0,68.5
Australia,11.581967213114755,10.19101288056206,10.630171740827478,10.548121960007206,10.008082877959927,11.741882093316521,11.465216477511559,11.323770491803279,11.845339428331231,13.434426229508198,13.426568320505574,11.950819672131148,14.254098360655737
Austria,14.184615384615384,15.827472527472526,18.747435897435896,18.045562130177515,12.784900284900285,11.975739644970414,13.535108481262327,11.46923076923077,10.742800788954636,12.607692307692307,13.523471400394477,12.861538461538462,18.8
Azerbaijan,27.0,40.0,31.0,34.0,27.0,22.0,21.0,20.0,24.0,25.0,22.5,21.5,33.0
Bahrain,51.0,57.5,70.5,86.0,53.0,52.0,75.0,83.0,94.0,80.0,57.0,46.0,66.0
Bangladesh,161.0,303.0,195.0,184.0,116.0,125.0,100.0,51.0,107.0,83.0,158.0,223.0,284.0
Belarus,15.615384615384615,18.175824175824175,13.557692307692308,15.136094674556213,15.686609686609687,10.51577909270217,22.07889546351085,21.743589743589745,33.30966469428008,11.371794871794872,10.422090729783037,17.615384615384617,17.615384615384617
Belgium,17.878048780487806,18.634146341463413,18.926829268292682,19.76829268292683,24.097560975609756,25.426829268292682,29.134146341463413,18.902439024390244,17.831835686777918,18.10012836970475,12.781771501925546,12.0,13.536585365853659
Benin,31.0,51.0,66.0,18.0,19.0,18.0,18.0,33.5,36.0,38.5,39.5,68.0,113.0
Bolivia,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5.0,6.0
Bosnia And Herzegovina,49.54545454545455,79.81818181818181,86.36363636363636,52.36363636363637,37.54545454545455,30.636363636363637,32.36363636363637,35.27272727272727,36.72727272727273,33.54545454545455,31.0,52.36363636363637,93.0909090909091
Botswana,21.0,11.0,14.0,15.0,20.0,17.0,25.0,21.0,25.0,35.0,19.0,19.0,36.0
Brazil,24.94,17.92,18.14,21.616153846153846,19.338148148148147,26.44897435897436,27.538205128205128,28.866666666666664,32.884082321187584,32.07421052631579,24.358002699055334,29.26,25.38
Brunei,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75
Bulgaria,23.454545454545453,23.5,25.181818181818183,22.5,22.227272727272727,22.272727272727273,22.681818181818183,26.181818181818183,25.863636363636363,25.136363636363637,25.272727272727273,17.681818181818183,22.818181818181817
Burkina Faso,45.0,92.0,92.0,63.0,52.5,34.5,36.75,31.5,32.0,32.5,34.0,32.0,22.5
Burma,35.0,48.0,81.66666666666667,106.0,55.0,16.333333333333332,5.666666666666667,3.3333333333333335,6.0,36.27777777777778,16.0,47.0,38.666666666666664
Cabo Verde,9.166666666666666,15.166666666666666,12.5,13.333333333333334,13.166666666666666,11.5,10.055555555555555,8.666666666666666,10.625,9.11111111111111,9.805555555555555,21.166666666666668,22.0
Cambodia,23.0,28.5,53.0,62.5,43.0,23.0,11.0,17.5,16.25,32.833333333333336,6.75,19.0,18.5
Cameroon,45.0,82.0,121.0,74.0,44.0,53.0,48.5,57.0,42.0,30.0,34.5,61.0,99.0
Canada,17.69934640522876,13.348039215686274,14.02124183006536,16.75373482726424,16.022628659306857,23.180315263360246,25.40638216070742,22.94232987312572,21.509115927072585,20.640768588137007,11.852276789628819,14.450980392156863,12.699346405228757
Chad,147.0,221.0,326.0,189.0,285.0,106.0,87.5,58.5,38.0,35.0,207.0,228.0,235.0
Chile,39.083333333333336,26.86111111111111,47.30555555555556,29.444444444444443,38.69444444444444,53.69444444444444,59.638888888888886,61.02777777777778,46.388888888888886,34.72222222222222,27.38888888888889,21.25,22.305555555555557
China,64.26516853932584,105.03782771535582,86.81048689138576,93.95627649504054,83.53152292127838,53.02793397393529,42.07017218296134,36.56511188745161,37.78101563329239,40.2132480076596,54.33490932833125,73.15730337078652,89.10112359550561
Colombia,22.0,24.125,27.229166666666668,30.625,23.625,18.625,13.458333333333334,14.666666666666666,16.666666666666668,20.083333333333332,19.458333333333332,31.875,36.0
Congo (Kinshasa),32.0,113.5,100.5,67.25,65.5,34.0,7.0,31.5,21.125,16.25,20.25,3.5,11.0
Costa Rica,11.0,7.0,7.5,14.0,19.5,15.5,11.5,4.5,13.5,15.0,13.25,9.0,8.0
Cote D’Ivoire,32.0,72.0,62.0,28.0,29.0,16.0,19.0,23.0,19.0,13.0,13.0,23.0,67.0
Croatia,27.285714285714285,26.428571428571427,38.142857142857146,25.714285714285715,22.785714285714285,22.5,26.0,26.5,27.071428571428573,26.214285714285715,25.214285714285715,24.357142857142858,36.07142857142857
Curacao,10.0,15.0,10.0,15.0,18.0,22.0,11.25,10.5,11.25,9.5,6.75,26.0,14.0
Cyprus,32.6,25.6,24.2,31.4,30.0,35.2,31.4,34.0,36.0,34.6,35.8,38.8,31.8
