country_code,aq,PM2.5,PM10
ABW,,,
AFG,19.0,-431.5,
AGO,14.4,,
ALB,14.0,13.4765,18.16753141200812
AND,18.666666666666668,7.9,11.0
ARE,70.6,-204.2,247.72222222222223
ARG,14.214285714285714,6.148883930097023,10.4
ARM,35.5,10.4,
ATG,,10.0,
AUS,11.581967213114757,-96.87456315690096,-103.50486187845304
AUT,14.184615384615384,13.971359854780196,21.41738444797665
AZE,27.0,12.0,
BDI,32.0,,
BEL,17.878048780487806,-17.01324585723877,11.31818183053
BEN,31.0,,
BFA,45.0,,
BGD,161.0,60.35,108.4
BGR,23.454545454545453,14.225,29.914814814814815
BHR,51.0,23.0,
BHS,,,
BIH,49.54545454545455,42.18571428571429,62.083333333333336
BLR,15.615384615384617,13.4765,18.16753141200812
BLZ,,15.0,
BMU,,17.0,
BOL,1.0,,
BRA,24.94,17.657941176470587,33.853050847457624
BRB,,,
BRN,1.0,20.497916686534882,
BTN,39.33898305084746,20.497916686534882,
BWA,21.0,,
CAF,32.0,13.0,
CAN,17.69934640522876,6.906756295816547,13.43865995753843
CHE,21.074074074074076,3.521533883084089,8.127190168861869
CHL,39.083333333333336,18.67082813186553,61.785053763440864
CHN,64.26516853932584,11.789371980676329,40.26688276607239
CIV,32.0,-999.0,
CMR,45.0,,
COD,32.0,18.0,
COG,32.0,,
COL,22.0,-623.6179938,-932.3272843333332
COM,32.0,,
CPV,9.166666666666666,,
CRI,11.0,-999.0,
CUB,,,
CUW,10.0,,
CYM,,,
CYP,32.6,9.570092,18.717557875
CZE,29.29032258064516,16.767094821558885,23.73642654087535
DEU,21.785046728971963,18.38233692068142,22.121781993736494
DJI,32.0,,
DMA,,,
DNK,13.333333333333334,0.8139880994955698,15.2125
DOM,,,
DZA,23.0,78.0,
ECU,16.0,0.0,0.0
EGY,76.0,27.5,
ERI,32.0,,
ESP,27.629213483146067,8.875186850710168,17.269044236323936
EST,18.0,5.824125,13.6916
ETH,53.0,-313.3333333333333,
FIN,10.078947368421051,3.494708597857143,14.5819995184
FJI,,,
FRA,22.805687203791468,8.637229639466305,14.696697478994729
FRO,18.666666666666668,13.4765,18.16753141200812
FSM,,,
GAB,37.0,17.0,
GBR,16.46153846153846,17.673730083896267,23.199925129331397
GEO,24.5,20.497916686534882,
GHA,17.666666666666668,-158.90630428357557,20.473799626032516
GIB,10.0,13.4765,18.16753141200812
GIN,33.0,-999.0,
GMB,16.0,,
GNB,32.0,,
GNQ,32.0,,
GRC,23.130434782608692,15.75,25.363636363636363
GRD,6.0,,
GRL,,,
GTM,24.0,-483.0,1.0
GUY,,,
HKG,39.33898305084746,35.05,51.32222222222222
HND,,,
HRV,27.285714285714285,8.636363636363637,14.45
HTI,,,
HUN,4.2631578947368425,16.488711184615383,25.96668139882353
IDN,34.083333333333336,-412.1707908130828,67.40848223368326
IND,83.28337236533957,94.92856678232332,180.06112565445028
IRL,11.264705882352942,16.054789683381717,-364.1769230769231
IRN,51.57142857142857,20.497916686534882,
IRQ,39.0,47.8106,65.88533333333332
ISL,7.0,3.76624,72.48935200000001
ISR,27.622222222222224,10.1,
ITA,10.673469387755102,9.323980107453846,14.70453449652246
JAM,,,
JOR,39.57142857142857,9.0,
JPN,25.35070140280561,5.831050072727919,
KAZ,33.588235294117645,116.5,
KEN,17.25,9.0,5.5
KGZ,49.86666666666667,19.0,
KHM,23.0,20.497916686534882,
KIR,,,
KNA,,,
KOR,44.7710843373494,19.05,
KWT,95.33333333333331,38.0,
LAO,69.54545454545455,21.945833373069764,25.6
LBN,49.0,20.497916686534882,
LBR,20.0,,
LBY,32.0,,
LCA,,,
LIE,19.5,13.4765,18.16753141200812
LKA,32.666666666666664,50.0,
LSO,32.0,,
LTU,18.666666666666668,17.149999468,66.22384628461539
LUX,26.0,7.966666666666666,14.333333333333334
LVA,8.666666666666666,6.163333335,21.3974999775
MAC,39.33898305084746,20.497916686534882,
MAR,32.0,5.0,
MDA,10.75,18.0,18.16753141200812
MDG,28.0,18.0,
MDV,39.33898305084746,20.497916686534882,
MEX,40.61111111111112,29.689909624188733,76.1054682533101
MHL,,,
MKD,43.57142857142857,17.883933333333335,29.47061904761905
MLI,75.0,-999.0,
MLT,37.75,13.4765,14.697666666666668
MMR,35.0,49.96666666666667,54.0
MNE,41.833333333333336,20.54,22.14
MNG,49.0,111.05454545454543,181.14814814814812
MOZ,32.0,4.0,
MRT,32.0,,
MUS,32.0,,
MWI,32.0,,
MYS,9.0,8.658749995628993,27.5
NAM,1.0,,
NCL,15.0,,
NER,32.0,,
NGA,48.81818181818182,37.23333333333333,
NIC,,14.8375,
NLD,21.357142857142858,-77.76508471318036,-239.785376987875
NOR,12.26086956521739,10.303795174208064,15.2978142993
NPL,65.625,29.05218251546224,
NRU,,,
NZL,12.7,7.229572906666666,15.991346348484848
OMN,39.33898305084746,20.497916686534882,
PAK,79.16666666666667,28.8,
PAN,,,
PER,28.0,-33.69866666666666,67.03461538461539
PHL,15.714285714285714,11.4,
PLW,,,
PNG,,,
POL,24.571428571428573,23.942290307070483,24.63212378571429
PRK,52.75,20.497916686534882,
PRT,24.40909090909091,3.9105263157894736,12.794444444444444
PRY,,,
PSE,39.33898305084746,20.497916686534882,
PYF,,,
QAT,60.0,50.0,
ROU,16.5531914893617,8.899424214444444,19.066018587692305
RUS,12.19047619047619,15.702974999999999,23.223166666666668
RWA,74.0,24.95,0.0
SAU,11.61904761904762,80.46459999999999,39.861
SDN,33.0,-658.3333333333334,
SEN,40.25,18.96535353227096,19.795277508822355
SGP,26.0,282.9,
SLB,,,
SLE,32.0,,
SLV,22.5,,
SOM,32.0,,
SRB,30.375,12.545875674112352,16.54045888860136
SSD,32.0,,
STP,32.0,,
SUR,,,
SVK,22.204545454545453,19.107756944444443,24.99682402428571
SVN,24.25,15.1,12.994736842105263
SWE,13.238095238095235,18.807094188648648,31.841381809523806
SWZ,32.0,,
SXM,,,
SYC,32.0,,
SYR,39.33898305084746,20.497916686534882,
TCA,,,
TCD,147.0,-999.0,
TGO,25.0,,
THA,35.734693877551024,39.55786356455853,53.83746569039885
TJK,63.5,14.0,
TKM,50.0,-999.0,
TLS,39.33898305084746,20.497916686534882,
TON,,,
TTO,11.666666666666666,5.011111111111108,22.480000000000004
TUN,32.0,,
TUR,39.33898305084746,18.20160571428572,46.64285378590078
TUV,,,
TZA,32.0,,
UGA,41.86666666666667,-999.0,
UKR,14.887323943661972,13.4765,18.16753141200812
URY,,,
USA,19.55305867665418,8.994352941176471,22.982866043613708
UZB,59.0,14.0,
VCT,,,
VEN,10.0,,
VGB,,,
VNM,32.111111111111114,26.0,
VUT,,,
WSM,,,
YEM,39.33898305084746,20.497916686534882,
ZAF,30.23684210526316,-16.906157480314963,4.0175985915492936
ZMB,29.0,,
ZWE,32.0,,
