Country Label,Pollutant,Unit,Value
Afghanistan,PM2.5,µg/m³,-431.5
Algeria,PM2.5,µg/m³,78.0
Andorra,CO,µg/m³,100.0
Andorra,NO2,µg/m³,4.7
Andorra,O3,µg/m³,68.33333333333333
Andorra,PM10,µg/m³,11.0
Andorra,PM2.5,µg/m³,7.9
Andorra,SO2,µg/m³,0.2
Antigua and Barbuda,PM2.5,µg/m³,10.0
Argentina,CO,µg/m³,590.0
Argentina,NO2,µg/m³,12.5
Argentina,O3,µg/m³,26.0
Argentina,PM10,µg/m³,10.4
Argentina,PM2.5,µg/m³,6.148883930097023
Argentina,SO2,µg/m³,5.71
Argentina,TEMPERATURE,c,19.753720462322235
Armenia,PM2.5,µg/m³,10.4
Australia,PM10,µg/m³,-103.50486187845303
Australia,PM2.5,µg/m³,-96.87456315690096
Australia,TEMPERATURE,c,26.857342660427094
Austria,CO,µg/m³,444.30559101694917
Austria,NO2,µg/m³,29.293419231275166
Austria,O3,µg/m³,40.03043891402715
Austria,PM10,µg/m³,21.417384447976655
Austria,PM2.5,µg/m³,13.971359854780195
Austria,SO2,µg/m³,2.2922135619285715
Austria,TEMPERATURE,c,9.904097292158339
Azerbaijan,PM2.5,µg/m³,12.0
Bahrain,PM2.5,µg/m³,23.0
Bangladesh,CO,µg/m³,1230.0
Bangladesh,NO2,µg/m³,14.145
Bangladesh,O3,µg/m³,5.195
Bangladesh,PM10,µg/m³,108.4
Bangladesh,PM2.5,µg/m³,60.35
Bangladesh,SO2,µg/m³,21.025
Belgium,CO,µg/m³,305.7242857142857
Belgium,NO2,µg/m³,-4.795461538461538
Belgium,O3,µg/m³,-1.3729259259259265
Belgium,PM1,µg/m³,14.943452517191568
Belgium,PM10,µg/m³,11.31818183053
Belgium,PM2.5,µg/m³,-17.01324585723877
Belgium,RELATIVEHUMIDITY,%,39.67897383371989
Belgium,SO2,µg/m³,1.695
Belgium,TEMPERATURE,c,16.050654808680218
Belgium,UM003,particles/cm³,2669.1979166666665
Belize,PM2.5,µg/m³,15.0
Bermuda,PM2.5,µg/m³,17.0
Bosnia and Herzegovina,CO,µg/m³,612.875
Bosnia and Herzegovina,NO2,µg/m³,24.383333333333333
Bosnia and Herzegovina,O3,µg/m³,30.30588235294118
Bosnia and Herzegovina,PM10,µg/m³,62.083333333333336
Bosnia and Herzegovina,PM2.5,µg/m³,42.18571428571429
Bosnia and Herzegovina,SO2,µg/m³,44.07647058823529
Brazil,NO2,µg/m³,29.753333333333334
Brazil,O3,µg/m³,69.24984126984127
Brazil,PM10,µg/m³,33.853050847457624
Brazil,PM2.5,µg/m³,17.657941176470587
Brazil,SO2,µg/m³,10.892105263157895
Bulgaria,CO,µg/m³,550.5907605
Bulgaria,NO2,µg/m³,23.979848583600003
Bulgaria,O3,µg/m³,25.593157894736844
Bulgaria,PM10,µg/m³,29.914814814814818
Bulgaria,PM2.5,µg/m³,14.225
Bulgaria,SO2,µg/m³,9.404882714615384
Canada,NO,ppm,0.0006641509433962274
Canada,NOX,ppm,0.004304166666666667
Canada,PM1,µg/m³,3.6201686714672383
Canada,PM10,µg/m³,13.43865995753843
Canada,PM2.5,µg/m³,6.906756295816547
Canada,RELATIVEHUMIDITY,%,58.677604251437714
Canada,TEMPERATURE,c,8.222006276525834
Canada,UM003,particles/cm³,600.7422642178005
Central African Republic,PM2.5,µg/m³,13.0
Chad,PM2.5,µg/m³,-999.0
Chile,CO,µg/m³,692.745090909091
Chile,NO2,µg/m³,22.664035087719295
Chile,O3,µg/m³,38.638644067796605
