country_code,pollutant,unit,value
AFG,PM2.5,µg/m³,-431.5
DZA,PM2.5,µg/m³,78.0
AND,CO,µg/m³,100.0
AND,NO2,µg/m³,4.7
AND,O3,µg/m³,68.33333333333333
AND,PM10,µg/m³,11.0
AND,PM2.5,µg/m³,7.9
AND,SO2,µg/m³,0.2
ATG,PM2.5,µg/m³,10.0
ARG,CO,µg/m³,590.0
ARG,NO2,µg/m³,12.5
ARG,O3,µg/m³,26.0
ARG,PM10,µg/m³,10.4
ARG,PM2.5,µg/m³,6.148883930097023
ARG,SO2,µg/m³,5.71
ARG,TEMPERATURE,c,19.753720462322235
ARM,PM2.5,µg/m³,10.4
AUS,PM10,µg/m³,-103.50486187845303
AUS,PM2.5,µg/m³,-96.87456315690096
AUS,TEMPERATURE,c,26.857342660427094
AUT,CO,µg/m³,444.30559101694917
AUT,NO2,µg/m³,29.293419231275166
AUT,O3,µg/m³,40.03043891402715
AUT,PM10,µg/m³,21.417384447976655
AUT,PM2.5,µg/m³,13.971359854780195
AUT,SO2,µg/m³,2.2922135619285715
AUT,TEMPERATURE,c,9.904097292158339
AZE,PM2.5,µg/m³,12.0
BHR,PM2.5,µg/m³,23.0
BGD,CO,µg/m³,1230.0
BGD,NO2,µg/m³,14.145
BGD,O3,µg/m³,5.195
BGD,PM10,µg/m³,108.4
BGD,PM2.5,µg/m³,60.35
BGD,SO2,µg/m³,21.025
BEL,CO,µg/m³,305.7242857142857
BEL,NO2,µg/m³,-4.795461538461538
BEL,O3,µg/m³,-1.3729259259259265
BEL,PM1,µg/m³,14.943452517191568
BEL,PM10,µg/m³,11.31818183053
BEL,PM2.5,µg/m³,-17.01324585723877
BEL,RELATIVEHUMIDITY,%,39.67897383371989
BEL,SO2,µg/m³,1.695
BEL,TEMPERATURE,c,16.050654808680218
BEL,UM003,particles/cm³,2669.1979166666665
BLZ,PM2.5,µg/m³,15.0
BMU,PM2.5,µg/m³,17.0
BIH,CO,µg/m³,612.875
BIH,NO2,µg/m³,24.383333333333333
BIH,O3,µg/m³,30.30588235294118
BIH,PM10,µg/m³,62.083333333333336
BIH,PM2.5,µg/m³,42.18571428571429
BIH,SO2,µg/m³,44.07647058823529
BRA,NO2,µg/m³,29.753333333333334
BRA,O3,µg/m³,69.24984126984127
BRA,PM10,µg/m³,33.853050847457624
BRA,PM2.5,µg/m³,17.657941176470587
BRA,SO2,µg/m³,10.892105263157895
BGR,CO,µg/m³,550.5907605
BGR,NO2,µg/m³,23.979848583600003
BGR,O3,µg/m³,25.593157894736844
BGR,PM10,µg/m³,29.914814814814818
BGR,PM2.5,µg/m³,14.225
BGR,SO2,µg/m³,9.404882714615384
CAN,NO,ppm,0.0006641509433962274
CAN,NOX,ppm,0.004304166666666667
CAN,PM1,µg/m³,3.6201686714672383
CAN,PM10,µg/m³,13.43865995753843
CAN,PM2.5,µg/m³,6.906756295816547
CAN,RELATIVEHUMIDITY,%,58.677604251437714
CAN,TEMPERATURE,c,8.222006276525834
CAN,UM003,particles/cm³,600.7422642178005
CAF,PM2.5,µg/m³,13.0
TCD,PM2.5,µg/m³,-999.0
CHL,CO,µg/m³,692.745090909091
CHL,NO2,µg/m³,22.664035087719295
CHL,O3,µg/m³,38.638644067796605
CHL,PM10,µg/m³,61.785053763440864
CHL,PM2.5,µg/m³,18.67082813186553
CHL,SO2,µg/m³,12.453462637362637
CHL,TEMPERATURE,c,24.073467334111534
CHN,CO,µg/m³,644.9864894194249
CHN,NO2,µg/m³,18.388756756756756
CHN,O3,µg/m³,131.60578378378378
CHN,PM10,µg/m³,40.26688276607239
CHN,PM2.5,µg/m³,11.789371980676327
CHN,SO2,µg/m³,7.264216216216216
COL,PM10,µg/m³,-932.3272843333332
COL,PM2.5,µg/m³,-623.6179938
COD,PM2.5,µg/m³,18.0
CRI,PM2.5,µg/m³,-999.0
HRV,CO,µg/m³,366.6666666666667
HRV,NO2,µg/m³,14.529133333333334
HRV,O3,µg/m³,65.46428571428571
HRV,PM10,µg/m³,14.450000000000001
HRV,PM2.5,µg/m³,8.636363636363637
HRV,SO2,µg/m³,12.79775
CYP,CO,µg/m³,4265.770644444445
CYP,NO2,µg/m³,31.72389772727273
CYP,O3,µg/m³,46.576344909090906
CYP,PM10,µg/m³,18.717557875
CYP,PM2.5,µg/m³,9.570092
CYP,SO2,µg/m³,2.667164718181818
CZE,CO,µg/m³,424.74569687499996
CZE,NO2,µg/m³,10.73072103896104
CZE,O3,µg/m³,60.3320044117647
CZE,PM1,µg/m³,26.719717224438988
CZE,PM10,µg/m³,23.73642654087535
CZE,PM2.5,µg/m³,16.767094821558885
CZE,RELATIVEHUMIDITY,%,51.42730553944906
CZE,SO2,µg/m³,4.726668679245283
CZE,TEMPERATURE,c,19.83318424224854
CZE,UM003,particles/cm³,4625.28423055013
CIV,PM2.5,µg/m³,-999.0
DNK,CO,µg/m³,315.0
DNK,NO2,µg/m³,17.496666666666666
DNK,O3,µg/m³,40.52
DNK,PM10,µg/m³,15.2125
DNK,PM2.5,µg/m³,0.8139880994955698
DNK,SO2,µg/m³,1.15
DNK,TEMPERATURE,c,13.699305613835651
ECU,O3,µg/m³,0.0
ECU,PM10,µg/m³,0.0
ECU,PM2.5,µg/m³,0.0
EGY,PM2.5,µg/m³,27.5
EST,CO,µg/m³,216.1784
EST,NO2,µg/m³,4.28932
EST,O3,µg/m³,52.7703
EST,PM10,µg/m³,13.6916
EST,PM2.5,µg/m³,5.824125
EST,SO2,µg/m³,0.40709083333333335
ETH,PM2.5,µg/m³,-313.3333333333333
FIN,NO2,µg/m³,11.731324904651162
FIN,O3,µg/m³,70.71341461666667
FIN,PM10,µg/m³,14.5819995184
FIN,PM2.5,µg/m³,3.494708597857143
FIN,SO2,µg/m³,1.12902405
FRA,CO,µg/m³,191.66444444444443
FRA,NO2,µg/m³,23.518005477031803
FRA,O3,µg/m³,46.12520837004406
FRA,PM1,µg/m³,0.0
FRA,PM10,µg/m³,14.696697478994727
FRA,PM2.5,µg/m³,8.637229639466305
FRA,RELATIVEHUMIDITY,%,42.14915148417155
FRA,SO2,µg/m³,1.6798170731707318
FRA,TEMPERATURE,c,16.739404956499733
FRA,UM003,particles/cm³,209.11309560139972
GAB,PM2.5,µg/m³,17.0
DEU,CO,µg/m³,360.89338536363636
DEU,NO2,µg/m³,15.485849777796977
DEU,O3,µg/m³,38.69062019570513
DEU,PM1,µg/m³,17.606018059341995
DEU,PM10,µg/m³,22.121781993736498
DEU,PM2.5,µg/m³,18.38233692068142
DEU,RELATIVEHUMIDITY,%,47.48941007614136
DEU,SO2,µg/m³,23.658585306
DEU,TEMPERATURE,c,10.831822893354628
DEU,UM003,particles/cm³,2958.5127978515625
GHA,PM1,µg/m³,12.648313442866007
GHA,PM10,µg/m³,20.473799626032513
GHA,PM2.5,µg/m³,-158.90630428357557
GHA,RELATIVEHUMIDITY,%,65.40148830413818
GHA,TEMPERATURE,c,32.69781548567493
GHA,UM003,particles/cm³,3052.1359252929688
GIB,CO,µg/m³,470.0
GIB,NO2,µg/m³,38.03333333333333
