country_code,aq
AFG,19.0
ALB,14.0
DZA,23.0
AND,18.666666666666668
AGO,14.4
ARG,14.214285714285714
ARM,35.5
AUS,11.581967213114755
AUT,14.184615384615384
AZE,27.0
BHR,51.0
BGD,161.0
BLR,15.615384615384615
BEL,17.878048780487806
BEN,31.0
BOL,1.0
BIH,49.54545454545455
BWA,21.0
BRA,24.94
BRN,1.0
BGR,23.454545454545453
BFA,45.0
MMR,35.0
CPV,9.166666666666666
KHM,23.0
CMR,45.0
CAN,17.69934640522876
TCD,147.0
CHL,39.083333333333336
CHN,64.26516853932584
COL,22.0
COD,32.0
CRI,11.0
CIV,32.0
HRV,27.285714285714285
CUW,10.0
CYP,32.6
CZE,29.29032258064516
DNK,13.333333333333334
ECU,16.0
EGY,76.0
SLV,22.5
EST,18.0
ETH,53.0
FIN,10.078947368421053
FRA,22.805687203791468
GUF,18.5
GAB,37.0
GMB,16.0
GEO,24.5
DEU,21.785046728971963
GHA,17.666666666666668
GIB,10.0
GRC,23.130434782608695
GRD,6.0
GLP,14.5
GTM,24.0
GIN,33.0
HUN,4.2631578947368425
ISL,7.0
IND,83.28337236533957
IDN,34.083333333333336
IRN,51.57142857142857
IRQ,39.0
IRL,11.264705882352942
ISR,27.622222222222224
ITA,10.673469387755102
JPN,25.350701402805612
JOR,39.57142857142857
KAZ,33.588235294117645
KEN,17.25
KWT,95.33333333333333
KGZ,49.86666666666667
LAO,69.54545454545455
LVA,8.666666666666666
LBN,49.0
LBR,20.0
LIE,19.5
LTU,18.666666666666668
LUX,26.0
MKD,43.57142857142857
MDG,28.0
MYS,9.0
MLI,75.0
MLT,37.75
MTQ,24.0
MEX,40.611111111111114
MDA,10.75
MCO,21.0
MNG,49.0
MNE,41.833333333333336
NAM,1.0
NPL,65.625
NLD,21.357142857142858
NCL,15.0
NZL,12.7
NGA,48.81818181818182
PRK,52.75
NOR,12.26086956521739
PAK,79.16666666666667
PER,28.0
PHL,15.714285714285714
POL,24.571428571428573
PRT,24.40909090909091
PRI,3.2857142857142856
QAT,60.0
REU,18.0
ROU,16.5531914893617
RUS,12.19047619047619
RWA,74.0
SMR,3.5
SAU,11.619047619047619
SEN,40.25
SRB,30.375
SGP,26.0
SVK,22.204545454545453
SVN,24.25
ZAF,30.236842105263158
KOR,44.7710843373494
ESP,27.629213483146067
LKA,32.666666666666664
SDN,33.0
SWE,13.238095238095237
CHE,21.074074074074073
TWN,37.41379310344828
TJK,63.5
THA,35.734693877551024
TGO,25.0
TTO,11.666666666666666
TUR,39.33898305084746
TKM,50.0
UGA,41.86666666666667
UKR,14.887323943661972
ARE,70.6
GBR,16.46153846153846
USA,19.55305867665418
UZB,59.0
VEN,10.0
VNM,32.111111111111114
ZMB,29.0
