country_code,country_name,region,sub_region,region_code,sub_region_code
AFG,Afghanistan,Asia,Southern Asia,142.0,34.0
ALB,Albania,Europe,Southern Europe,150.0,39.0
DZA,Algeria,Africa,Northern Africa,2.0,15.0
ASM,American Samoa,Oceania,Polynesia,9.0,61.0
AND,Andorra,Europe,Southern Europe,150.0,39.0
AGO,Angola,Africa,Middle Africa,2.0,17.0
AIA,Anguilla,Americas,Caribbean,19.0,29.0
ATG,Antigua and Barbuda,Americas,Caribbean,19.0,29.0
ARG,Argentina,Americas,South America,19.0,5.0
ARM,Armenia,Asia,Western Asia,142.0,145.0
ABW,Aruba,Americas,Caribbean,19.0,29.0
AUS,Australia,Oceania,Australia and New Zealand,9.0,53.0
AUT,Austria,Europe,Western Europe,150.0,155.0
AZE,Azerbaijan,Asia,Western Asia,142.0,145.0
BHS,Bahamas,Americas,Caribbean,19.0,29.0
BHR,Bahrain,Asia,Western Asia,142.0,145.0
BGD,Bangladesh,Asia,Southern Asia,142.0,34.0
BRB,Barbados,Americas,Caribbean,19.0,29.0
BLR,Belarus,Europe,Eastern Europe,150.0,151.0
BEL,Belgium,Europe,Western Europe,150.0,155.0
BLZ,Belize,Americas,Central America,19.0,13.0
BEN,Benin,Africa,Western Africa,2.0,11.0
BMU,Bermuda,Americas,Northern America,19.0,21.0
BTN,Bhutan,Asia,Southern Asia,142.0,34.0
BOL,Bolivia,Americas,South America,19.0,5.0
BIH,Bosnia and Herzegovina,Europe,Southern Europe,150.0,39.0
BWA,Botswana,Africa,Southern Africa,2.0,18.0
BRA,Brazil,Americas,South America,19.0,5.0
VGB,British Virgin Islands,Americas,Caribbean,19.0,29.0
BRN,Brunei,Asia,South-Eastern Asia,142.0,35.0
BGR,Bulgaria,Europe,Eastern Europe,150.0,151.0
BFA,Burkina Faso,Africa,Western Africa,2.0,11.0
BDI,Burundi,Africa,Eastern Africa,2.0,14.0
KHM,Cambodia,Asia,South-Eastern Asia,142.0,35.0
CMR,Cameroon,Africa,Middle Africa,2.0,17.0
CAN,Canada,Americas,Northern America,19.0,21.0
CPV,Cape Verde,Africa,Western Africa,2.0,11.0
CYM,Cayman Islands,Americas,Caribbean,19.0,29.0
CAF,Central African Republic,Africa,Middle Africa,2.0,17.0
TCD,Chad,Africa,Middle Africa,2.0,17.0
CHL,Chile,Americas,South America,19.0,5.0
CHN,China,Asia,Eastern Asia,142.0,30.0
COL,Colombia,Americas,South America,19.0,5.0
COM,Comoros,Africa,Eastern Africa,2.0,14.0
COK,Cook Islands,Oceania,Polynesia,9.0,61.0
CRI,Costa Rica,Americas,Central America,19.0,13.0
HRV,Croatia,Europe,Southern Europe,150.0,39.0
CUB,Cuba,Americas,Caribbean,19.0,29.0
CUW,Curacao,Americas,Caribbean,19.0,29.0
CYP,Cyprus,Asia,Western Asia,142.0,145.0
CZE,Czech Republic,Europe,Eastern Europe,150.0,151.0
DNK,Denmark,Europe,Northern Europe,150.0,154.0
DJI,Djibouti,Africa,Eastern Africa,2.0,14.0
DMA,Dominica,Americas,Caribbean,19.0,29.0
DOM,Dominican Republic,Americas,Caribbean,19.0,29.0
COD,DR Congo,Africa,Middle Africa,2.0,17.0
ECU,Ecuador,Americas,South America,19.0,5.0
EGY,Egypt,Africa,Northern Africa,2.0,15.0
SLV,El Salvador,Americas,Central America,19.0,13.0
GNQ,Equatorial Guinea,Africa,Middle Africa,2.0,17.0
ERI,Eritrea,Africa,Eastern Africa,2.0,14.0
EST,Estonia,Europe,Northern Europe,150.0,154.0
SWZ,Eswatini,Africa,Southern Africa,2.0,18.0
ETH,Ethiopia,Africa,Eastern Africa,2.0,14.0
FLK,Falkland Islands,Americas,South America,19.0,5.0
FRO,Faroe Islands,Europe,Northern Europe,150.0,154.0
FJI,Fiji,Oceania,Melanesia,9.0,54.0
FIN,Finland,Europe,Northern Europe,150.0,154.0
FRA,France,Europe,Western Europe,150.0,155.0
GUF,French Guiana,Americas,South America,19.0,5.0
PYF,French Polynesia,Oceania,Polynesia,9.0,61.0
GAB,Gabon,Africa,Middle Africa,2.0,17.0
GMB,Gambia,Africa,Western Africa,2.0,11.0
GEO,Georgia,Asia,Western Asia,142.0,145.0
DEU,Germany,Europe,Western Europe,150.0,155.0
GHA,Ghana,Africa,Western Africa,2.0,11.0
GIB,Gibraltar,Europe,Southern Europe,150.0,39.0
GRC,Greece,Europe,Southern Europe,150.0,39.0
GRL,Greenland,Americas,Northern America,19.0,21.0
GRD,Grenada,Americas,Caribbean,19.0,29.0
GLP,Guadeloupe,Americas,Caribbean,19.0,29.0
GUM,Guam,Oceania,Micronesia,9.0,57.0
GTM,Guatemala,Americas,Central America,19.0,13.0
GGY,Guernsey,Europe,Northern Europe,150.0,154.0
GIN,Guinea,Africa,Western Africa,2.0,11.0
GNB,Guinea-Bissau,Africa,Western Africa,2.0,11.0
GUY,Guyana,Americas,South America,19.0,5.0
HTI,Haiti,Americas,Caribbean,19.0,29.0
HND,Honduras,Americas,Central America,19.0,13.0
HKG,Hong Kong,Asia,Eastern Asia,142.0,30.0
HUN,Hungary,Europe,Eastern Europe,150.0,151.0
ISL,Iceland,Europe,Northern Europe,150.0,154.0
IND,India,Asia,Southern Asia,142.0,34.0
IDN,Indonesia,Asia,South-Eastern Asia,142.0,35.0
IRN,Iran,Asia,Southern Asia,142.0,34.0
IRQ,Iraq,Asia,Western Asia,142.0,145.0
IRL,Ireland,Europe,Northern Europe,150.0,154.0
IMN,Isle of Man,Europe,Northern Europe,150.0,154.0
ISR,Israel,Asia,Western Asia,142.0,145.0
ITA,Italy,Europe,Southern Europe,150.0,39.0
CIV,Ivory Coast,Africa,Western Africa,2.0,11.0
JAM,Jamaica,Americas,Caribbean,19.0,29.0
JPN,Japan,Asia,Eastern Asia,142.0,30.0
JEY,Jersey,Europe,Northern Europe,150.0,154.0
JOR,Jordan,Asia,Western Asia,142.0,145.0
KAZ,Kazakhstan,Asia,Central Asia,142.0,143.0
KEN,Kenya,Africa,Eastern Africa,2.0,14.0
KIR,Kiribati,Oceania,Micronesia,9.0,57.0
KWT,Kuwait,Asia,Western Asia,142.0,145.0
KGZ,Kyrgyzstan,Asia,Central Asia,142.0,143.0
LAO,Laos,Asia,South-Eastern Asia,142.0,35.0
LVA,Latvia,Europe,Northern Europe,150.0,154.0
LBN,Lebanon,Asia,Western Asia,142.0,145.0
LSO,Lesotho,Africa,Southern Africa,2.0,18.0
LBR,Liberia,Africa,Western Africa,2.0,11.0
LBY,Libya,Africa,Northern Africa,2.0,15.0
LIE,Liechtenstein,Europe,Western Europe,150.0,155.0
LTU,Lithuania,Europe,Northern Europe,150.0,154.0
LUX,Luxembourg,Europe,Western Europe,150.0,155.0
MAC,Macau,Asia,Eastern Asia,142.0,30.0
MDG,Madagascar,Africa,Eastern Africa,2.0,14.0
MWI,Malawi,Africa,Eastern Africa,2.0,14.0
MYS,Malaysia,Asia,South-Eastern Asia,142.0,35.0
MDV,Maldives,Asia,Southern Asia,142.0,34.0
MLI,Mali,Africa,Western Africa,2.0,11.0
MLT,Malta,Europe,Southern Europe,150.0,39.0
MHL,Marshall Islands,Oceania,Micronesia,9.0,57.0
MTQ,Martinique,Americas,Caribbean,19.0,29.0
MRT,Mauritania,Africa,Western Africa,2.0,11.0
MUS,Mauritius,Africa,Eastern Africa,2.0,14.0
MYT,Mayotte,Africa,Eastern Africa,2.0,14.0
MEX,Mexico,Americas,Central America,19.0,13.0
FSM,Micronesia,Oceania,Micronesia,9.0,57.0
MDA,Moldova,Europe,Eastern Europe,150.0,151.0
MCO,Monaco,Europe,Western Europe,150.0,155.0
MNG,Mongolia,Asia,Eastern Asia,142.0,30.0
MNE,Montenegro,Europe,Southern Europe,150.0,39.0
MSR,Montserrat,Americas,Caribbean,19.0,29.0
MAR,Morocco,Africa,Northern Africa,2.0,15.0
MOZ,Mozambique,Africa,Eastern Africa,2.0,14.0
MMR,Myanmar,Asia,South-Eastern Asia,142.0,35.0
NAM,Namibia,Africa,Southern Africa,2.0,18.0
NRU,Nauru,Oceania,Micronesia,9.0,57.0
NPL,Nepal,Asia,Southern Asia,142.0,34.0
NLD,Netherlands,Europe,Western Europe,150.0,155.0
NCL,New Caledonia,Oceania,Melanesia,9.0,54.0
NZL,New Zealand,Oceania,Australia and New Zealand,9.0,53.0
NIC,Nicaragua,Americas,Central America,19.0,13.0
NER,Niger,Africa,Western Africa,2.0,11.0
NGA,Nigeria,Africa,Western Africa,2.0,11.0
NIU,Niue,Oceania,Polynesia,9.0,61.0
PRK,North Korea,Asia,Eastern Asia,142.0,30.0
MKD,North Macedonia,Europe,Southern Europe,150.0,39.0
NFK,Northern Mariana Islands,Oceania,Australia and New Zealand,9.0,53.0
NOR,Norway,Europe,Northern Europe,150.0,154.0
OMN,Oman,Asia,Western Asia,142.0,145.0
PAK,Pakistan,Asia,Southern Asia,142.0,34.0
PLW,Palau,Oceania,Micronesia,9.0,57.0
PSE,Palestine,Asia,Western Asia,142.0,145.0
PAN,Panama,Americas,Central America,19.0,13.0
PNG,Papua New Guinea,Oceania,Melanesia,9.0,54.0
PRY,Paraguay,Americas,South America,19.0,5.0
PER,Peru,Americas,South America,19.0,5.0
PHL,Philippines,Asia,South-Eastern Asia,142.0,35.0
POL,Poland,Europe,Eastern Europe,150.0,151.0
PRT,Portugal,Europe,Southern Europe,150.0,39.0
PRI,Puerto Rico,Americas,Caribbean,19.0,29.0
